Temp(degC),Salinity(PSU),pH,DO(mg/l),rainfall(mm),At_temp(degC)
23.9,34.8,8.28,5.51,1.9,29
23.9,34.8,8.28,5.51,1.9,29
23.9,34.8,8.28,5.51,1.9,29
23.9,34.8,8.28,5.51,1.9,28.9
23.9,34.8,8.28,5.514,1.9,28.9
23.9,34.8,8.28,5.532,1.9,28.9
23.9,34.8,8.28,5.536,1.9,28.8
23.9,34.8,8.28,5.539,1.9,28.8
23.9,34.8,8.28,5.539,1.9,28.8
23.9,34.8,8.28,5.539,1.9,28.7
23.9,34.8,8.28,5.539,1.9,28.6
23.9,34.8,8.28,5.552,1.9,28.6
23.9,34.8,8.28,5.557,1.9,28.5
23.9,34.8,8.28,5.78,1.9,28.5
23.9,34.8,8.28,5.745,1.9,28.4
23.9,34.8,8.28,5.746,1.9,28.3
23.9,34.8,8.28,5.784,1.9,28.2
23.9,34.8,8.28,5.784,1.9,28.1
23.9,34.8,8.28,5.863,1.9,28
23.9,34.8,8.28,5.931,1.9,28
23.9,34.8,8.28,5.931,1.9,27.9
23.9,34.8,8.28,5.939,1.9,27.8
23.9,34.8,8.28,5.979,1.9,27.7
23.9,34.8,8.28,6,1.9,27.6
23.9,34.8,8.28,6.104,1.9,27.5
23.9,34.8,8.28,6.123,1.9,27.4
23.9,34.8,8.28,6.124,1.9,27.2
23.9,34.8,8.28,6.124,1.9,27.1
23.9,34.8,8.28,6.124,1.9,27
23.9,34.8,8.28,6.124,1.9,26.9
23.9,34.8,8.28,6.154,1.9,26.8
23.9,34.8,8.28,6.228,1.9,26.7
23.9,34.8,8.28,6.203,1.9,26.6
23.9,34.8,8.28,6.232,1.9,26.5
23.9,34.8,8.28,6.283,1.9,26.4
23.9,34.8,8.28,6.384,1.9,26.3
23.9,34.8,8.28,6.384,1.9,26.1
23.9,34.8,8.28,6.384,1.9,26
23.9,34.8,8.28,6.384,1.9,25.9
23.9,34.8,8.28,6.384,1.9,25.8
23.9,34.8,8.28,6.384,1.9,25.7
23.9,34.8,8.28,6.385,1.9,25.6
23.9,34.8,8.28,6.518,1.9,25.5
23.9,34.8,8.28,6.615,1.9,25.4
23.9,34.8,8.28,6.619,1.9,25.3
23.9,34.8,8.28,6.689,1.9,25.2
23.9,34.8,8.28,6.688,1.9,25.1
23.9,34.8,8.28,6.689,1.9,25
23.9,34.8,8.28,6.689,1.9,24.9
23.9,34.8,8.28,6.771,1.9,24.9
23.9,34.8,8.28,6.728,1.9,24.8
23.9,34.7,8.28,6.732,1.9,24.7
23.9,34.7,8.28,6.732,1.9,24.6
23.9,34.7,8.28,6.732,1.9,24.5
23.9,34.7,8.28,6.732,1.9,24.4
23.9,34.7,8.28,6.742,1.9,24.4
23.9,34.7,8.28,6.742,1.9,24.3
23.9,34.7,8.28,6.742,1.9,24.2
23.9,34.7,8.28,6.744,1.9,24.2
23.9,34.7,8.28,6.789,1.9,24.1
23.9,34.7,8.28,6.885,1.9,24
24,34.7,8.28,6.867,1.9,24
24,34.7,8.28,6.936,1.9,23.9
24,34.7,8.28,6.966,1.9,23.9
24,34.7,8.28,7.048,1.9,23.8
24,34.7,8.28,7.033,1.9,23.8
24,34.7,8.28,7.046,1.9,23.7
24,34.7,8.28,7.077,1.9,23.7
24,34.7,8.28,7.145,1.9,23.6
24,34.7,8.28,7.127,1.9,23.6
24,34.7,8.28,7.189,1.9,23.6
24,34.7,8.28,7.141,1.9,23.5
24,34.7,8.28,7.235,1.9,23.5
24,34.7,8.28,7.286,1.9,23.5
24,34.7,8.28,7.223,1.9,23.4
24,34.7,8.28,7.244,1.9,23.4
24,34.7,8.28,7.269,1.9,23.4
24,34.7,8.28,7.277,1.9,23.3
24,34.7,8.28,7.277,1.9,23.3
24,34.7,8.28,7.29,1.9,23.3
24,34.7,8.28,7.294,1.9,23.3
24,34.7,8.28,7.424,1.9,23.3
24,34.7,8.28,7.28,1.9,23.2
24,34.7,8.28,7.3,1.9,23.2
24,34.7,8.28,7.376,1.9,23.2
24,34.7,8.28,7.3,1.9,23.2
24,34.7,8.28,7.315,1.9,23.2
24,34.7,8.28,7.34,1.9,23.2
24,34.7,8.28,7.443,1.9,23.1
24,34.7,8.28,7.367,1.9,23.1
24,34.7,8.28,7.379,1.9,23.1
24,34.7,8.28,7.473,1.9,23.1
24,34.7,8.28,7.442,1.9,23.1
24,34.7,8.28,7.443,1.9,23.1
24,34.7,8.28,7.522,1.9,23.1
24.1,34.7,8.28,7.443,1.9,23.1
24,34.7,8.28,7.443,1.9,23.1
24,34.7,8.28,7.488,1.9,23.1
24,34.7,8.28,7.443,1.9,23.1
24,34.7,8.28,7.443,1.9,23.1
24,34.7,8.28,7.443,1.9,23.1
24,34.7,8.28,7.443,1.9,23.1
24,34.7,8.28,7.399,1.9,23.1
24,34.7,8.28,7.21,1.9,23.1
24,34.7,8.28,6.953,1.9,23.1
24,34.7,8.28,6.941,1.9,23.1
24,34.7,8.28,6.941,1.9,23.1
24,34.7,8.28,6.941,1.9,23.1
24,34.7,8.28,6.918,1.9,23.1
24,34.7,8.28,6.916,1.9,23.1
24,34.7,8.28,6.9,1.9,23.1
24,34.7,8.28,6.776,1.9,23.2
24,34.7,8.28,6.872,1.9,23.2
24,34.7,8.28,6.871,1.9,23.2
24,34.7,8.28,6.871,1.9,23.2
24,34.7,8.28,6.838,1.9,23.2
24,34.7,8.28,6.732,1.9,23.2
24,34.7,8.28,6.8,1.9,23.2
24,34.7,8.28,6.8,1.9,23.2
24,34.7,8.28,6.8,1.9,23.3
24,34.7,8.28,6.8,1.9,23.3
24,34.7,8.28,6.8,1.9,23.3
24,34.7,8.28,6.8,1.9,23.3
24,34.7,8.28,6.8,1.9,23.3
24.1,34.7,8.28,6.8,1.9,23.3
24.1,34.7,8.28,6.8,1.9,23.3
24.1,34.7,8.28,6.8,1.9,23.3
24.1,34.7,8.28,6.8,1.9,23.4
24.1,34.7,8.28,6.8,1.9,23.4
24.1,34.7,8.28,6.8,1.9,23.4
24.1,34.7,8.28,6.794,1.9,23.4
24.1,34.7,8.28,6.8,1.9,23.4
24.1,34.7,8.28,6.8,1.9,23.4
24.1,34.6,8.28,6.8,1.9,23.4
24.1,34.6,8.28,6.8,1.9,23.4
24.1,34.6,8.28,6.764,1.9,23.4
24.1,34.6,8.28,6.8,1.9,23.5
24.1,34.6,8.28,6.774,1.9,23.5
24.1,34.6,8.28,6.748,1.9,23.5
24.1,34.6,8.28,6.686,1.9,23.5
24.1,34.6,8.28,6.685,1.9,23.5
24.1,34.6,8.28,6.615,1.9,23.5
24.1,34.6,8.28,6.601,1.9,23.5
24.1,34.6,8.28,6.552,1.9,23.5
24.1,34.6,8.28,6.543,1.9,23.6
24.1,34.6,8.28,6.543,1.9,23.6
24.1,34.5,8.28,6.543,1.9,23.6
24.1,34.5,8.28,6.543,1.9,23.6
24.1,34.5,8.28,6.543,1.9,23.6
24.1,34.5,8.28,6.543,1.9,23.6
24.1,34.5,8.28,6.543,1.9,23.6
24.1,34.5,8.28,6.461,1.9,23.6
24.1,34.5,8.28,6.543,1.9,23.6
24.1,34.5,8.28,6.543,1.9,23.7
24.1,34.5,8.28,6.543,1.9,23.7
24.1,34.5,8.28,6.571,1.9,23.7
24.1,34.5,8.28,6.585,1.9,23.7
24.1,34.5,8.28,6.585,1.9,23.7
24.1,34.4,8.28,6.585,1.9,23.7
24.2,34.4,8.28,6.585,1.9,23.7
24.2,34.4,8.28,6.585,1.9,23.7
24.2,34.4,8.28,6.585,1.9,23.8
24.2,34.4,8.28,6.585,1.9,23.8
24.2,34.4,8.28,6.585,1.9,23.8
24.2,34.4,8.28,6.585,1.9,23.8
24.2,34.4,8.28,6.543,1.9,23.8
24.2,34.4,8.28,6.579,1.9,23.8
24.2,34.4,8.28,6.579,1.9,23.8
24.2,34.4,8.28,6.563,1.9,23.8
24.2,34.4,8.28,6.548,1.9,23.9
24.2,34.4,8.28,6.469,1.9,23.9
24.2,34.4,8.28,6.563,1.9,23.9
24.2,34.4,8.28,6.541,1.9,23.9
24.2,34.4,8.28,6.558,1.9,23.9
24.2,34.4,8.28,6.557,1.9,23.9
24.2,34.4,8.28,6.557,1.9,23.9
24.2,34.4,8.28,6.505,1.9,23.9
24.2,34.4,8.28,6.555,1.9,23.9
24.2,34.4,8.28,6.557,1.9,24
24.2,34.4,8.28,6.556,1.9,24
24.2,34.4,8.28,6.533,3.2,24
24.2,34.4,8.28,6.518,3.2,24
24.2,34.4,8.28,6.516,3.2,24
24.2,34.4,8.28,6.513,3.2,24.1
24.2,34.4,8.28,6.516,3.2,24.1
24.2,34.4,8.28,6.516,3.2,24.1
24.2,34.4,8.28,6.516,3.2,24.1
24.2,34.4,8.28,6.516,3.2,24.1
24.2,34.4,8.28,6.515,3.2,24.1
24.2,34.4,8.28,6.409,3.2,24.1
24.2,34.4,8.28,6.445,3.2,24.1
24.2,34.4,8.28,6.498,3.2,24.1
24.2,34.4,8.28,6.455,3.2,24.1
24.2,34.4,8.28,6.442,3.2,24.1
24.2,34.4,8.28,6.412,3.2,24.1
24.2,34.4,8.28,6.409,3.2,24.1
24.2,34.4,8.28,6.409,3.2,24.2
24.2,34.4,8.28,6.409,3.2,24.2
24.2,34.4,8.28,6.399,3.2,24.2
24.2,34.4,8.28,6.304,3.2,24.2
24.2,34.4,8.28,6.157,3.2,24.2
24.2,34.4,8.28,6.151,3.2,24.2
24.2,34.4,8.28,6.157,3.2,24.2
24.2,34.3,8.28,6.136,3.2,24.3
24.2,34.3,8.28,6.071,3.2,24.3
24.2,34.3,8.28,6.075,3.2,24.3
24.2,34.3,8.28,6.072,3.2,24.3
24.2,34.3,8.28,6.072,3.2,24.3
24.2,34.3,8.28,6.072,3.2,24.4
24.2,34.3,8.28,6.072,3.2,24.4
24.2,34.3,8.28,6.072,3.2,24.4
24.2,34.3,8.28,6.072,3.2,24.4
24.2,34.3,8.28,6.072,3.2,24.5
24.2,34.3,8.28,6.052,3.2,24.5
24.2,34.3,8.28,6.03,3.2,24.5
24.2,34.3,8.28,5.982,3.2,24.6
24.2,34.3,8.28,5.98,3.2,24.6
24.2,34.3,8.28,5.98,3.2,24.6
24.2,34.3,8.28,5.98,3.2,24.7
24.2,34.3,8.28,5.98,3.2,24.7
24.2,34.3,8.28,5.98,3.2,24.8
24.2,34.3,8.28,5.98,3.2,24.8
24.2,34.3,8.28,5.98,3.2,24.9
24.2,34.3,8.28,5.946,3.2,24.9
24.2,34.3,8.28,5.98,3.2,24.9
24.2,34.3,8.28,5.93,3.2,25
24.2,34.3,8.28,5.98,3.2,25
24.2,34.3,8.28,5.967,3.2,25.1
24.2,34.3,8.28,5.951,3.2,25.1
24.2,34.3,8.28,5.874,3.2,25.2
24.3,34.3,8.28,5.95,3.2,25.3
24.3,34.3,8.28,5.889,3.2,25.3
24.3,34.3,8.28,5.878,3.2,25.4
24.3,34.3,8.28,5.874,3.2,25.4
24.3,34.3,8.28,5.874,3.2,25.5
24.3,34.3,8.28,5.874,3.2,25.6
24.3,34.3,8.28,5.874,3.2,25.6
24.3,34.3,8.28,5.874,3.2,25.7
24.3,34.3,8.28,5.821,3.2,25.7
24.3,34.3,8.28,5.779,3.2,25.8
24.3,34.3,8.28,5.78,3.2,25.9
24.3,34.3,8.28,5.779,3.2,25.9
24.3,34.3,8.28,5.779,3.2,26
24.3,34.3,8.28,5.779,3.2,26.1
24.3,34.3,8.28,5.779,3.2,26.1
24.3,34.3,8.28,5.779,3.2,26.2
24.3,34.3,8.28,5.779,3.2,26.3
24.3,34.3,8.28,5.779,3.2,26.3
24.3,34.3,8.28,5.779,3.2,26.4
24.3,34.3,8.28,5.779,3.2,26.5
24.3,34.3,8.28,5.779,3.2,26.5
24.3,34.3,8.28,5.779,3.2,26.6
24.3,34.3,8.28,5.774,3.2,26.7
24.3,34.3,8.28,5.691,3.2,26.7
24.3,34.3,8.28,5.674,3.2,26.8
24.3,34.3,8.28,5.646,3.2,26.9
24.3,34.3,8.28,5.642,3.2,26.9
24.3,34.3,8.28,5.642,3.2,27
24.3,34.3,8.28,5.642,3.2,27
24.3,34.3,8.28,5.642,3.2,27.1
24.3,34.3,8.28,5.642,3.2,27.1
24.3,34.3,8.28,5.611,3.2,27.2
24.3,34.3,8.28,5.623,3.2,27.2
24.3,34.3,8.28,5.642,3.2,27.3
24.3,34.3,8.28,5.643,3.2,27.3
24.3,34.3,8.28,5.688,3.2,27.4
24.3,34.3,8.28,5.725,3.2,27.4
24.3,34.3,8.28,5.726,3.2,27.4
24.3,34.3,8.28,5.726,3.2,27.5
24.3,34.3,8.28,5.726,3.2,27.5
24.3,34.3,8.28,5.726,3.2,27.5
24.3,34.3,8.28,5.726,3.2,27.5
24.3,34.3,8.28,5.726,3.2,27.6
24.3,34.3,8.28,5.726,3.2,27.6
24.3,34.3,8.28,5.726,3.2,27.6
24.3,34.3,8.28,5.726,3.2,27.6
24.3,34.3,8.28,5.726,3.2,27.6
24.3,34.3,8.28,5.726,3.2,27.6
24.3,34.3,8.28,5.726,3.2,27.6
24.3,34.3,8.28,5.729,3.2,27.6
24.3,34.3,8.28,5.726,3.2,27.6
24.3,34.3,8.28,5.726,3.2,27.6
24.3,34.3,8.28,5.726,3.2,27.5
24.3,34.3,8.28,5.712,3.2,27.5
24.3,34.3,8.28,5.691,3.2,27.5
24.3,34.3,8.28,5.682,3.2,27.5
24.3,34.3,8.28,5.671,3.2,27.4
24.3,34.3,8.28,5.639,3.2,27.4
24.3,34.3,8.28,5.636,3.2,27.4
24.3,34.3,8.28,5.549,3.2,27.3
24.3,34.3,8.28,5.464,3.2,27.3
24.3,34.3,8.28,5.471,3.2,27.3
24.3,34.3,8.28,5.471,3.2,27.2
24.3,34.3,8.28,5.471,3.2,27.1
24.3,34.3,8.28,5.471,3.2,27.1
24.3,34.3,8.28,5.471,3.2,27.1
24.3,34.3,8.28,5.477,3.2,27
24.3,34.3,8.28,5.471,3.2,26.9
24.3,34.3,8.28,5.471,3.2,26.9
24.3,34.3,8.28,5.471,3.2,26.8
24.3,34.3,8.28,5.473,3.2,26.8
24.3,34.3,8.28,5.792,3.2,26.7
24.3,34.3,8.28,6.002,3.2,26.6
24.3,34.3,8.28,6.062,3.2,26.6
24.3,34.3,8.28,6.378,3.2,26.5
24.3,34.3,8.28,6.53,3.2,26.4
24.3,34.3,8.28,6.56,3.2,26.4
24.3,34.3,8.28,6.561,3.2,26.3
24.3,34.3,8.28,6.561,3.2,26.2
24.3,34.3,8.28,6.561,3.2,26.2
24.3,34.3,8.28,6.561,3.2,26.1
24.3,34.3,8.28,6.561,3.2,26
24.3,34.3,8.28,6.561,3.2,26
24.3,34.3,8.28,6.561,3.2,25.9
24.3,34.3,8.28,6.561,3.2,25.8
24.3,34.3,8.28,6.578,3.2,25.8
24.3,34.3,8.28,6.561,3.2,25.7
24.3,34.3,8.28,6.561,3.2,25.6
24.3,34.3,8.28,6.561,3.2,25.6
24.3,34.3,8.28,6.57,3.2,25.5
24.3,34.3,8.28,6.569,3.2,25.4
24.4,34.3,8.28,6.57,3.2,25.4
24.4,34.3,8.28,6.57,3.2,25.3
24.4,34.3,8.28,6.57,3.2,25.3
24.4,34.3,8.28,6.57,3.2,25.2
24.4,34.3,8.28,6.57,3.2,25.2
24.4,34.3,8.28,6.598,3.2,25.1
24.4,34.3,8.28,6.57,3.2,25.1
24.4,34.3,8.28,6.61,3.2,25
24.4,34.3,8.28,6.616,3.2,24.9
24.4,34.3,8.28,6.616,3.2,24.9
24.4,34.3,8.28,6.616,3.2,24.9
24.4,34.3,8.28,6.616,3.2,24.8
24.4,34.3,8.28,6.7,3.2,24.8
24.4,34.3,8.28,6.719,3.2,24.7
24.4,34.3,8.28,6.722,3.2,24.7
24.4,34.3,8.28,6.722,3.2,24.6
24.4,34.2,8.28,6.722,3.2,24.6
24.4,34.2,8.28,6.722,3.2,24.6
24.5,34.2,8.28,6.722,3.2,24.5
24.5,34.2,8.28,6.722,3.2,24.5
24.5,34.2,8.28,6.722,3.2,24.5
24.5,34.2,8.28,6.78,3.2,24.5
24.5,34.2,8.28,6.805,3.2,24.4
24.5,34.2,8.28,6.849,3.2,24.4
24.5,34.2,8.28,6.865,3.2,24.4
24.5,34.2,8.28,6.89,3.2,24.4
24.5,34.2,8.28,6.911,3.2,24.3
24.5,34.2,8.28,6.927,3.2,24.3
24.6,34.2,8.28,6.943,3.2,24.3
24.6,34.2,8.28,6.944,3.2,24.3
24.6,34.2,8.28,6.944,3.2,24.2
24.6,34.2,8.28,6.945,3.2,24.2
24.6,34.2,8.28,6.962,3.2,24.2
24.6,34.1,8.28,6.962,3.2,24.2
24.6,34,8.28,6.962,3.2,24.2
24.6,34,8.28,6.962,3.2,24.2
24.6,34,8.28,6.961,3.2,24.2
24.6,34,8.28,7.023,3.2,24.1
24.6,34,8.28,7.035,3.2,24.1
24.6,34,8.28,7.023,3.2,24.1
24.6,34,8.28,7.031,3.2,24.1
24.6,34,8.28,7.177,3.2,24.1
24.6,34,8.28,7.059,3.2,24.1
24.6,34,8.28,7.088,3.2,24.1
24.6,34,8.28,7.102,3.2,24.1
24.6,34,8.28,7.123,3.2,24.1
24.6,34,8.28,7.125,3.2,24.1
24.6,34,8.28,7.125,3.2,24.1
24.6,34,8.28,7.189,3.2,24.1
24.6,34,8.28,7.14,3.2,24.1
24.6,34,8.28,7.169,3.2,24
24.6,34,8.28,7.19,3.2,24
24.6,34,8.28,7.174,3.2,24
24.6,34,8.28,7.252,3.2,24
24.6,34,8.28,7.243,3.2,24
24.6,34,8.28,7.186,3.2,24
24.6,34,8.28,7.222,3.2,23.9
24.6,34,8.28,7.224,3.2,23.9
24.6,34,8.28,7.17,3.2,23.9
24.6,34,8.28,7.224,3.2,23.8
24.6,34,8.28,7.224,3.2,23.8
24.6,34,8.28,7.224,3.2,23.8
24.6,34,8.28,7.27,3.2,23.7
24.6,34,8.28,7.224,3.2,23.7
24.6,34,8.28,7.224,3.2,23.6
24.6,34,8.28,7.224,3.2,23.6
24.6,34,8.28,7.218,3.2,23.6
24.6,34,8.29,7.224,3.2,23.5
24.6,34,8.28,7.282,3.2,23.5
24.6,34,8.28,7.224,3.2,23.5
24.6,34,8.28,7.224,3.2,23.4
24.6,34,8.28,7.224,3.2,23.4
24.6,34,8.28,7.224,3.2,23.4
24.6,34,8.28,7.229,3.2,23.3
24.6,34,8.28,7.224,3.2,23.3
24.6,34,8.28,7.224,3.2,23.3
24.6,34,8.28,7.224,3.2,23.2
24.6,34,8.28,7.204,3.2,23.2
24.6,34,8.28,7.134,3.2,23.1
24.6,34,8.28,6.762,3.2,23.1
24.6,34,8.28,6.705,3.2,23.1
24.6,34,8.28,6.703,3.2,23
24.6,34,8.28,6.703,3.2,23
24.6,34,8.28,6.703,3.2,23
24.6,34,8.28,6.638,3.2,22.9
24.6,34,8.28,6.62,3.2,22.9
24.6,34,8.28,6.603,3.2,22.9
24.6,34,8.28,6.535,3.2,22.8
24.6,34,8.28,6.511,3.2,22.8
24.6,34,8.28,6.447,3.2,22.8
24.6,34,8.28,6.507,3.2,22.7
24.5,34,8.28,6.507,3.2,22.7
24.5,34,8.28,6.507,3.2,22.6
24.5,34,8.28,6.507,3.2,22.6
24.5,34,8.28,6.483,3.2,22.6
24.5,34,8.28,6.507,3.2,22.5
24.5,34,8.28,6.507,3.2,22.5
24.5,34,8.28,6.819,3.2,22.5
24.5,34,8.28,6.959,3.2,22.4
24.5,34,8.28,6.963,3.2,22.4
24.5,34,8.28,6.963,3.2,22.4
24.5,34,8.28,7.084,3.2,22.3
24.5,34,8.28,6.991,3.2,22.3
24.5,34,8.28,6.991,3.2,22.3
24.5,34,8.28,7.023,3.2,22.2
24.5,34,8.28,6.991,3.2,22.2
24.5,34,8.28,7.129,3.2,22.1
24.5,34,8.28,7.059,3.2,22.1
24.5,34,8.28,6.925,3.2,22.1
24.5,34,8.28,6.864,3.2,22
24.5,34,8.28,6.755,3.2,22
24.5,34,8.28,6.57,3.2,22
24.5,34,8.28,6.549,3.2,21.9
24.5,34,8.28,6.35,3.2,21.9
24.5,34,8.28,6.294,3.2,21.9
24.5,34,8.28,6.293,3.2,21.8
24.5,34,8.28,6.293,3.2,21.8
24.5,34,8.28,6.293,3.2,21.8
24.5,34,8.28,6.293,3.2,21.7
24.5,34,8.28,6.293,3.2,21.7
24.5,34,8.28,6.293,3.2,21.6
24.5,34,8.28,6.293,3.2,21.6
24.5,34,8.28,6.293,3.2,21.6
24.5,34,8.28,6.293,3.2,21.5
24.5,34,8.28,6.293,3.2,21.5
24.5,34,8.28,6.293,3.2,21.5
24.5,34,8.28,6.25,3.2,21.4
24.5,34,8.28,6.039,3.2,21.4
24.5,34,8.28,5.694,3.2,21.4
24.5,34,8.28,5.437,3.2,21.3
24.5,34,8.28,5.432,3.2,21.3
24.5,34,8.28,5.432,3.2,21.3
24.5,34,8.28,5.432,3.2,21.2
24.5,34,8.28,5.432,3.2,21.2
24.5,34,8.28,5.432,3.2,21.2
24.5,34,8.28,5.394,3.2,21.2
24.5,34,8.28,5.345,3.2,21.2
24.5,34,8.28,5.247,3.2,21.2
24.5,34,8.28,5.244,3.2,21.2
24.5,34,8.28,5.244,0,21.2
24.5,34,8.28,5.198,0,21.2
24.5,34,8.28,5.152,0,21.2
24.5,34,8.28,5.151,0,21.2
24.5,34,8.28,5.151,0,21.2
24.5,34,8.28,5.151,0,21.2
24.5,34,8.28,5.151,0,21.2
24.5,34,8.28,5.151,0,21.3
24.5,34,8.28,5.151,0,21.3
24.5,34,8.28,5.151,0,21.3
24.5,34,8.28,5.151,0,21.3
24.5,34,8.28,5.151,0,21.3
24.5,34,8.28,5.151,0,21.4
24.5,34,8.28,5.151,0,21.4
24.5,34,8.28,5.151,0,21.4
24.5,34,8.28,5.219,0,21.5
24.5,34,8.28,5.179,0,21.5
24.5,34,8.28,5.151,0,21.5
24.5,34,8.28,5.133,0,21.6
24.5,34,8.28,5.131,0,21.6
24.5,34,8.28,5.129,0,21.7
24.5,34,8.28,5.129,0,21.7
24.5,34,8.28,5.129,0,21.8
24.5,34,8.28,5.129,0,21.8
24.5,34,8.28,5.126,0,21.9
24.5,34,8.28,5.043,0,21.9
24.5,34,8.28,4.893,0,22
24.5,34,8.28,4.854,0,22
24.5,34,8.28,4.852,0,22.1
24.5,34,8.28,4.852,0,22.1
24.5,34,8.28,4.852,0,22.2
24.5,34,8.28,4.852,0,22.3
24.5,34,8.28,4.852,0,22.4
24.5,34,8.28,4.852,0,22.4
24.5,34,8.28,4.852,0,22.5
24.5,34,8.28,4.852,0,22.6
24.5,34,8.28,4.852,0,22.7
24.5,34,8.28,4.852,0,22.8
24.5,34,8.28,4.852,0,22.9
24.5,34,8.28,4.852,0,23
24.5,34,8.28,4.852,0,23.1
24.5,34,8.28,4.843,0,23.2
24.5,34,8.28,4.836,0,23.3
24.5,34,8.28,4.836,0,23.4
24.5,34,8.28,4.836,0,23.5
24.5,34,8.28,4.836,0,23.6
24.5,34,8.28,4.836,0,23.7
24.5,34,8.28,4.836,0,23.8
24.5,34,8.28,4.836,0,24
24.5,34,8.28,4.836,0,24.1
24.5,34,8.28,4.836,0,24.2
24.5,34,8.28,4.832,0,24.3
24.5,34,8.28,4.909,0,24.5
24.5,34,8.28,5.15,0,24.6
24.5,34,8.28,5.174,0,24.7
24.5,34,8.28,5.175,0,24.8
24.5,34,8.28,5.215,0,25
24.5,34,8.28,5.281,0,25.1
24.5,34,8.28,5.313,0,25.2
24.4,34,8.28,5.317,0,25.4
24.4,34,8.28,5.317,0,25.5
24.4,34,8.28,5.317,0,25.6
24.4,34,8.28,5.317,0,25.8
24.4,34,8.28,5.317,0,25.9
24.4,34,8.28,5.317,0,26
24.4,34,8.28,5.311,0,26.2
24.4,34,8.28,5.317,0,26.3
24.4,34,8.28,5.374,0,26.4
24.4,34,8.28,5.344,0,26.5
24.4,34,8.28,5.379,0,26.7
24.4,34,8.28,5.434,0,26.8
24.4,34,8.28,5.45,0,26.9
24.4,34,8.28,5.451,0,27
24.4,34,8.28,5.465,0,27.1
24.4,34,8.28,5.502,0,27.2
24.4,34,8.28,5.607,0,27.3
24.4,34,8.28,5.666,0,27.4
24.4,34,8.28,5.668,0,27.5
24.4,34,8.28,5.668,0,27.6
24.4,34,8.28,5.668,0,27.7
24.4,34,8.28,5.668,0,27.7
24.4,34,8.28,5.668,0,27.8
24.4,34,8.28,5.668,0,27.9
24.4,34,8.28,5.668,0,27.9
24.4,34,8.28,5.668,0,28
24.4,34,8.28,5.668,0,28
24.4,34,8.28,5.694,0,28.1
24.4,34,8.28,5.584,0,28.1
24.4,34,8.28,5.649,0,28.1
24.4,34,8.28,5.64,0,28.1
24.4,34,8.28,5.64,0,28.1
24.4,34,8.28,5.64,0,28.1
24.4,34,8.28,5.598,0,28.1
24.4,34,8.28,5.435,0,28.1
24.4,34,8.28,5.331,0,28.1
24.4,34,8.28,5.061,0,28.1
24.4,34,8.28,5,0,28.1
24.4,34,8.28,5,0,28.1
24.4,34,8.28,5,0,28
24.4,34,8.28,5,0,28
24.4,34,8.28,5,0,27.9
24.4,34,8.28,5,0,27.9
24.4,34,8.28,5,0,27.8
24.4,34,8.28,5,0,27.7
24.4,34,8.28,5,0,27.7
24.4,34,8.28,5,0,27.6
24.4,34,8.28,5,0,27.5
24.4,34,8.28,5,0,27.4
24.4,34,8.28,5,0,27.3
24.4,34,8.28,5,0,27.2
24.4,34,8.28,5.737,0,27.1
24.4,34,8.28,5.776,0,27
24.4,34,8.28,5.778,0,26.9
24.4,34,8.28,5.842,0,26.8
24.4,34,8.27,5.851,0,26.7
24.4,34,8.27,5.892,0,26.5
24.4,34,8.27,5.893,0,26.4
24.4,34,8.27,5.893,0,26.3
24.5,34,8.27,5.954,0,26.2
24.5,34,8.26,5.984,0,26
24.5,34,8.26,6.131,0,25.9
24.5,34,8.26,6.221,0,25.8
24.5,34,8.26,6.478,0,25.6
24.5,34,8.26,6.495,0,25.5
24.5,34,8.26,6.496,0,25.4
24.5,34,8.26,6.496,0,25.2
24.5,34,8.26,6.496,0,25.1
24.5,34,8.26,6.496,0,25
24.5,34,8.26,6.496,0,24.8
24.5,34,8.26,6.496,0,24.7
24.5,34,8.26,6.496,0,24.6
24.5,34,8.26,6.496,0,24.5
24.5,34,8.26,6.496,0,24.3
24.5,34,8.26,6.496,0,24.2
24.5,34,8.26,6.496,0,24.1
24.5,34,8.26,6.477,0,24
24.5,34,8.26,6.403,0,23.8
24.5,34,8.26,6.407,0,23.7
24.5,34,8.26,6.407,0,23.6
24.5,34,8.26,6.407,0,23.5
24.5,34,8.26,6.407,0,23.4
24.5,34,8.26,6.407,0,23.3
24.5,34,8.26,6.407,0,23.2
24.5,34,8.26,6.407,0,23.1
24.5,34,8.26,6.393,0,23
24.5,34,8.26,6.391,0,22.9
24.5,34,8.26,6.391,0,22.8
24.5,34,8.26,6.391,0,22.7
24.5,34,8.26,6.391,0,22.6
24.5,34,8.26,6.391,0,22.5
24.5,34,8.26,6.391,0,22.4
24.5,34,8.26,6.482,0,22.4
24.6,34,8.26,6.391,0,22.3
24.6,34,8.26,6.459,0,22.2
24.7,34,8.26,6.483,0,22.1
24.7,34,8.26,6.495,0,22.1
24.7,34,8.26,6.495,0,22
24.7,34,8.26,6.495,0,22
24.7,34,8.26,6.762,0,21.9
24.7,34,8.26,7.079,0,21.8
24.7,34,8.26,7.277,0,21.8
24.7,34,8.26,7.263,0,21.7
24.7,33.9,8.26,7.263,0,21.7
24.7,33.9,8.26,7.263,0,21.6
24.8,33.9,8.26,7.263,0,21.6
24.8,33.9,8.26,7.263,0,21.6
24.8,33.9,8.26,7.209,0,21.5
24.9,33.9,8.26,7.315,0,21.5
